Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_1010_C	1000	0.7986111111111112	0.7666666666666667	0.8709677419354839	0.54	165.0	0.7823129251700681	0.6666666666666666
CPC	Graph_100_1011_C	1000	0.8581081081081081	0.8466666666666667	0.967032967032967	0.5866666666666667	128.0	0.8523489932885906	0.7302904564315353
CPC	Graph_100_1012_C	1000	0.890625	0.76	0.9615384615384616	0.5	140.0	0.8201438848920863	0.6578947368421052
CPC	Graph_100_1013_C	1000	0.8266666666666667	0.8266666666666667	0.9473684210526315	0.6	140.0	0.8266666666666667	0.7346938775510204
CPC	Graph_100_1014_C	1000	0.8125	0.78	0.9080459770114943	0.5266666666666666	161.0	0.7959183673469388	0.6666666666666667
CPC	Graph_100_1015_C	1000	0.8741258741258742	0.8333333333333334	0.946236559139785	0.5866666666666667	125.0	0.8532423208191126	0.7242798353909465
CPC	Graph_100_1016_C	1000	0.8251748251748252	0.7866666666666666	0.8936170212765957	0.56	150.0	0.8054607508532423	0.6885245901639345
CPC	Graph_100_1017_C	1000	0.7837837837837838	0.7733333333333333	0.8723404255319149	0.5466666666666666	170.0	0.7785234899328859	0.6721311475409836
CPC	Graph_100_1018_C	1000	0.851063829787234	0.8	0.8666666666666667	0.6066666666666667	133.0	0.8247422680412372	0.7137254901960784
CPC	Graph_100_1019_C	1000	0.8322147651006712	0.8266666666666667	0.9479166666666666	0.6066666666666667	136.0	0.8294314381270903	0.7398373983739837
CPC	Graph_100_1020_C	1000	0.8391608391608392	0.8	0.8736842105263158	0.5533333333333333	149.0	0.8191126279863481	0.6775510204081634
CPC	Graph_100_3001_C	3000	0.875	0.84	0.8333333333333334	0.6	127.0	0.8571428571428572	0.6976744186046512
CPC	Graph_100_3002_C	3000	0.8366013071895425	0.8533333333333334	0.92	0.6133333333333333	133.0	0.8448844884488449	0.7360000000000001
CPC	Graph_100_3003_C	3000	0.8503401360544217	0.8333333333333334	0.8762886597938144	0.5666666666666667	136.0	0.8417508417508417	0.6882591093117408
CPC	Graph_100_3004_C	3000	0.7834394904458599	0.82	0.8165137614678899	0.5933333333333334	162.0	0.8013029315960912	0.6872586872586872
CPC	Graph_100_3005_C	3000	0.8095238095238095	0.7933333333333333	0.8421052631578947	0.5333333333333333	161.0	0.8013468013468015	0.653061224489796
CPC	Graph_100_3006_C	3000	0.8843537414965986	0.8666666666666667	0.9595959595959596	0.6333333333333333	110.0	0.8754208754208754	0.7630522088353413
CPC	Graph_100_3007_C	3000	0.8639455782312925	0.8466666666666667	0.8867924528301887	0.6266666666666667	121.0	0.8552188552188553	0.734375
CPC	Graph_100_3008_C	3000	0.8157894736842105	0.8266666666666667	0.8380952380952381	0.5866666666666667	148.0	0.8211920529801323	0.6901960784313727
CPC	Graph_100_3009_C	3000	0.8551724137931035	0.8266666666666667	0.8811881188118812	0.5933333333333334	134.0	0.840677966101695	0.709163346613546
CPC	Graph_100_3010_C	3000	0.8831168831168831	0.9066666666666666	0.9433962264150944	0.6666666666666666	100.0	0.894736842105263	0.7812499999999999
CPC	Graph_100_3011_C	3000	0.8896551724137931	0.86	0.9166666666666666	0.66	107.0	0.8745762711864407	0.7674418604651163
CPC	Graph_100_3012_C	3000	0.8523489932885906	0.8466666666666667	0.8691588785046729	0.62	130.0	0.8494983277591973	0.7237354085603114
CPC	Graph_100_3013_C	3000	0.9071428571428571	0.8466666666666667	0.9405940594059405	0.6333333333333333	107.0	0.8758620689655173	0.7569721115537849
CPC	Graph_100_3014_C	3000	0.8648648648648649	0.8533333333333334	0.8378378378378378	0.62	125.0	0.8590604026845637	0.7126436781609196
CPC	Graph_100_3015_C	3000	0.8618421052631579	0.8733333333333333	0.8867924528301887	0.6266666666666667	120.0	0.8675496688741722	0.734375
CPC	Graph_100_3016_C	3000	0.8355263157894737	0.8466666666666667	0.9207920792079208	0.62	131.0	0.8410596026490067	0.7410358565737053
CPC	Graph_100_3017_C	3000	0.8300653594771242	0.8466666666666667	0.9313725490196079	0.6333333333333333	132.0	0.8382838283828382	0.753968253968254
CPC	Graph_100_3018_C	3000	0.8533333333333334	0.8533333333333334	0.956989247311828	0.5933333333333334	128.0	0.8533333333333335	0.7325102880658437
CPC	Graph_100_3019_C	3000	0.8571428571428571	0.84	0.900990099009901	0.6066666666666667	126.0	0.8484848484848485	0.7250996015936254
CPC	Graph_100_3020_C	3000	0.8486842105263158	0.86	0.8235294117647058	0.6533333333333333	127.0	0.8543046357615894	0.728624535315985
