Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_105_C	100	0.05	0.8411214953271028	0.6	0.9318181818181818	0.2733333333333333	206.0	0.7003891050583657	0.42268041237113396
CPC	Graph_100_105_C	100	0.08	0.811965811965812	0.6333333333333333	0.9	0.3	208.0	0.7116104868913857	0.45000000000000007
CPC	Graph_100_105_C	100	0.1	0.7933884297520661	0.64	0.9107142857142857	0.34	207.0	0.7084870848708487	0.4951456310679612
CPC	Graph_100_106_C	100	1.0E-4	0.9701492537313433	0.43333333333333335	1.0	0.09333333333333334	225.0	0.5990783410138248	0.17073170731707318
CPC	Graph_100_106_C	100	0.001	0.961038961038961	0.49333333333333335	1.0	0.09333333333333334	218.0	0.6519823788546255	0.17073170731707318
CPC	Graph_100_106_C	100	0.01	0.9647058823529412	0.5466666666666666	1.0	0.12	206.0	0.6978723404255319	0.21428571428571425
CPC	Graph_100_106_C	100	0.03	0.9270833333333334	0.5933333333333334	1.0	0.22666666666666666	191.0	0.7235772357723578	0.3695652173913044
CPC	Graph_100_106_C	100	0.05	0.8942307692307693	0.62	1.0	0.24	193.0	0.732283464566929	0.3870967741935484
CPC	Graph_100_106_C	100	0.08	0.8909090909090909	0.6533333333333333	0.9591836734693877	0.31333333333333335	179.0	0.7538461538461538	0.4723618090452261
CPC	Graph_100_106_C	100	0.1	0.8461538461538461	0.66	0.9629629629629629	0.3466666666666667	185.0	0.7415730337078651	0.5098039215686275
CPC	Graph_100_107_C	100	1.0E-4	0.9821428571428571	0.36666666666666664	1.0	0.013333333333333334	245.0	0.5339805825242718	0.02631578947368421
CPC	Graph_100_107_C	100	0.001	0.9701492537313433	0.43333333333333335	1.0	0.04	233.0	0.5990783410138248	0.07692307692307693
CPC	Graph_100_107_C	100	0.01	0.9466666666666667	0.47333333333333333	0.8421052631578947	0.10666666666666667	222.0	0.6311111111111111	0.18934911242603553
CPC	Graph_100_107_C	100	0.03	0.9080459770114943	0.5266666666666666	0.8695652173913043	0.13333333333333333	218.0	0.6666666666666667	0.23121387283236994
CPC	Graph_100_107_C	100	0.05	0.8936170212765957	0.56	0.8846153846153846	0.15333333333333332	214.0	0.6885245901639345	0.26136363636363635
CPC	Graph_100_107_C	100	0.08	0.8461538461538461	0.5866666666666667	0.896551724137931	0.17333333333333334	219.0	0.6929133858267718	0.2905027932960894
CPC	Graph_100_107_C	100	0.1	0.8245614035087719	0.6266666666666667	0.8292682926829268	0.22666666666666666	215.0	0.7121212121212122	0.35602094240837695
CPC	Graph_100_108_C	100	1.0E-4	0.9830508474576272	0.38666666666666666	1.0	0.02666666666666667	240.0	0.5550239234449761	0.05194805194805195
CPC	Graph_100_108_C	100	0.001	0.9852941176470589	0.44666666666666666	1.0	0.12666666666666668	216.0	0.6146788990825688	0.22485207100591717
CPC	Graph_100_108_C	100	0.01	1.0	0.5333333333333333	1.0	0.20666666666666667	189.0	0.6956521739130436	0.3425414364640884
CPC	Graph_100_108_C	100	0.03	0.9770114942528736	0.5666666666666667	1.0	0.24	183.0	0.7172995780590717	0.3870967741935484
