GraphID, DataSetID, Algorithm, Elapsed Time
Graph_1012, DataSet_100_1012, FGES, 0.051124071 s
Graph_1013, DataSet_100_1013, FGES, 0.048439678 s
Graph_1014, DataSet_100_1014, FGES, 0.043114084 s
Graph_1015, DataSet_100_1015, FGES, 0.039700967 s
Graph_1016, DataSet_100_1016, FGES, 0.043242809 s
Graph_1017, DataSet_100_1017, FGES, 0.038079296 s
Graph_1018, DataSet_100_1018, FGES, 0.039529048 s
Graph_1019, DataSet_100_1019, FGES, 0.045261342 s
Graph_1020, DataSet_100_1020, FGES, 0.040448508 s
Graph_3001, DataSet_100_3001, CPC Stable, 0.067426725 s
Graph_3002, DataSet_100_3002, CPC Stable, 0.074475769 s
Graph_3003, DataSet_100_3003, CPC Stable, 0.081219468 s
Graph_3004, DataSet_100_3004, CPC Stable, 0.077591667 s
Graph_3005, DataSet_100_3005, CPC Stable, 0.06772309 s
Graph_3006, DataSet_100_3006, CPC Stable, 0.067809476 s
Graph_3007, DataSet_100_3007, CPC Stable, 0.073872775 s
Graph_3008, DataSet_100_3008, CPC Stable, 0.08211669 s
Graph_3009, DataSet_100_3009, CPC Stable, 0.076074346 s
Graph_3010, DataSet_100_3010, CPC Stable, 0.085369865 s
Graph_3011, DataSet_100_3011, CPC Stable, 0.066837415 s
Graph_3012, DataSet_100_3012, CPC Stable, 0.068882464 s
Graph_3013, DataSet_100_3013, CPC Stable, 0.077077625 s
Graph_3014, DataSet_100_3014, CPC Stable, 0.073030721 s
Graph_3015, DataSet_100_3015, CPC Stable, 0.092987263 s
Graph_3016, DataSet_100_3016, CPC Stable, 0.079720964 s
Graph_3017, DataSet_100_3017, CPC Stable, 0.072160442 s
Graph_3018, DataSet_100_3018, CPC Stable, 0.073520815 s
Graph_3019, DataSet_100_3019, CPC Stable, 0.061708971 s
Graph_3020, DataSet_100_3020, CPC Stable, 0.078814334 s
Graph_3001, DataSet_100_3001, PC Max, 0.041585643 s
Graph_3001, DataSet_100_3001, PC Stable, 0.0750685 s
Graph_3002, DataSet_100_3002, PC Max, 0.043064904 s
Graph_3002, DataSet_100_3002, PC Stable, 0.057957149 s
Graph_3003, DataSet_100_3003, PC Max, 0.060124935 s
Graph_3003, DataSet_100_3003, PC Stable, 0.064077327 s
Graph_3004, DataSet_100_3004, PC Max, 0.06489757 s
Graph_3004, DataSet_100_3004, PC Stable, 0.065600208 s
Graph_3005, DataSet_100_3005, PC Max, 0.044254214 s
Graph_3005, DataSet_100_3005, PC Stable, 0.061549028 s
Graph_3006, DataSet_100_3006, PC Max, 0.044518505 s
Graph_3006, DataSet_100_3006, PC Stable, 0.061506262 s
Graph_3007, DataSet_100_3007, PC Max, 0.04896826 s
Graph_3007, DataSet_100_3007, PC Stable, 0.063062501 s
Graph_3008, DataSet_100_3008, PC Max, 0.052377957 s
Graph_3008, DataSet_100_3008, PC Stable, 0.063086022 s
Graph_3009, DataSet_100_3009, PC Max, 0.051928063 s
Graph_3009, DataSet_100_3009, PC Stable, 0.06550869 s
Graph_3010, DataSet_100_3010, PC Max, 0.062622871 s
Graph_3010, DataSet_100_3010, PC Stable, 0.065940194 s
Graph_3011, DataSet_100_3011, PC Max, 0.060246817 s
Graph_3011, DataSet_100_3011, PC Stable, 0.057516665 s
Graph_3012, DataSet_100_3012, PC Max, 0.045301542 s
Graph_3012, DataSet_100_3012, PC Stable, 0.058983522 s
Graph_3013, DataSet_100_3013, PC Max, 0.059315811 s
Graph_3013, DataSet_100_3013, PC Stable, 0.066594079 s
Graph_3014, DataSet_100_3014, PC Max, 0.048732194 s
Graph_3014, DataSet_100_3014, PC Stable, 0.063725794 s
Graph_3015, DataSet_100_3015, PC Max, 0.055119228 s
Graph_3015, DataSet_100_3015, PC Stable, 0.061029427 s
Graph_3016, DataSet_100_3016, PC Max, 0.051486723 s
Graph_3016, DataSet_100_3016, PC Stable, 0.116953503 s
Graph_3017, DataSet_100_3017, PC Max, 0.06212679 s
Graph_3017, DataSet_100_3017, PC Stable, 0.08856445 s
Graph_3018, DataSet_100_3018, PC Max, 0.066124941 s
Graph_3018, DataSet_100_3018, PC Stable, 0.077144767 s
Graph_3019, DataSet_100_3019, PC Max, 0.057199345 s
Graph_3019, DataSet_100_3019, PC Stable, 0.079981406 s
Graph_3020, DataSet_100_3020, PC Max, 0.063709971 s
Graph_3020, DataSet_100_3020, PC Stable, 0.087573573 s
Graph_3001, DataSet_100_3001, FGES, 0.433900077 s
Graph_3002, DataSet_100_3002, FGES, 0.377250697 s
Graph_3003, DataSet_100_3003, FGES, 0.444270294 s
Graph_3004, DataSet_100_3004, FGES, 0.402943809 s
Graph_3005, DataSet_100_3005, FGES, 0.344909254 s
Graph_3006, DataSet_100_3006, FGES, 0.338706111 s
Graph_3007, DataSet_100_3007, FGES, 0.402698762 s
Graph_3008, DataSet_100_3008, FGES, 0.333350582 s
Graph_3009, DataSet_100_3009, FGES, 0.442696522 s
Graph_3010, DataSet_100_3010, FGES, 0.342182094 s
Graph_3011, DataSet_100_3011, FGES, 0.336935618 s
Graph_3012, DataSet_100_3012, FGES, 0.306748703 s
